Epoch,TrainLossAvg,TestLossAvg
0,0.03942797294793985,0.05751002169455643
1,0.0381681858051768,0.05636127296559237
2,0.037297703039187655,0.05542749442436077
3,0.036431305292811425,0.054163745776922616
4,0.03577011559670899,0.05431316075501619
5,0.03525916021534335,0.05370999817494993
6,0.034616720721577156,0.051844328055503194
7,0.034070889545834704,0.05115667585697439
8,0.0335716487175518,0.0507812473612527
9,0.03312921953020674,0.05005790188011748
10,0.03281612387730247,0.049746597202977645
11,0.03246300699653881,0.04918068605992529
12,0.032155610846750664,0.047741138014114566
13,0.03193471769613403,0.04718588056318738
14,0.0317612401533238,0.04681564224194045
15,0.03158099890311003,0.047142143033582856
16,0.0314304202378213,0.046726654162975376
17,0.03116606040434404,0.045886201370093554
18,0.031130256821642388,0.0454110698774457
19,0.030994494866779496,0.04505190437797595
20,0.030919555157839836,0.044899852204791924
21,0.030750602587953313,0.04452507096101289
22,0.030676893968056965,0.04364082498337935
23,0.030605506034685183,0.04358893848472723
24,0.03056290901172689,0.043010622901083144
25,0.030532525926133692,0.043739581014961004
26,0.030455133588962898,0.04300486743105231
27,0.03046632418300444,0.04265731450653187
28,0.0304414849980172,0.04314490033451606
29,0.030463531083646633,0.043188680446258294
30,0.03036151602343246,0.04217236642553299
31,0.030289313315233705,0.04220592497882468
32,0.0304377792502964,0.04233669705206045
33,0.030246614971326226,0.04198737882284655
34,0.030219314350705323,0.041908420225674356
35,0.030212306519557825,0.04188699497737818
36,0.030216305709871657,0.04226569445044906
37,0.030169175779294996,0.04138796081490539
38,0.030271163596695676,0.04163697684459664
39,0.030229778999423647,0.042262430768460035
40,0.030129878883768908,0.041766654786274386
41,0.030194679027670746,0.04088086488277272
42,0.030228015495624854,0.0415481017143638
43,0.030198953542120252,0.04237679531797767
44,0.030210319124943725,0.04111110738099173
45,0.030242915588728474,0.041338773634008785
46,0.0302468910292312,0.04127938162397455
47,0.030119014118031744,0.041157381108927506
48,0.0300910542339156,0.04091072123911646
49,0.03007784327774337,0.04127010777247725
50,0.03007644735328801,0.04123641924794625
51,0.03007029739397389,0.04102187058715909
52,0.03019831704066975,0.040892527973348344
53,0.03012266547564582,0.040328713392631874
